Customer_Number,Monetary,Frequency,Last.Purchase,average.number.of.cds,recency,purchase.amount.time2,retained
7497,33.735,2,2/4/97,1.5,238,NA,0
7498,14.43333333,3,5/5/97,1,148,18.98,1
7499,12.49,1,1/29/97,1,244,40.47,1
7500,19.99,1,1/29/97,1,244,NA,0
7501,29.98,1,1/29/97,2,244,NA,0
7502,15.36,1,1/29/97,1,244,NA,0
7503,14.79,1,1/29/97,1,244,NA,0
7504,20.3,1,1/29/97,1,244,NA,0
7505,30.78333333,3,2/26/97,1,216,31.49,1
7506,35.575,2,9/2/97,2.5,28,26.48,1
7507,11.77,1,1/29/97,1,244,NA,0
7508,31.98,1,2/12/97,2,230,9.49,1
7509,76.96,1,1/31/97,4,242,NA,0
7510,146.48,1,1/30/97,8,243,NA,0
7511,23.74,1,1/29/97,2,244,NA,0
7512,20.03,5,8/31/97,1.6,30,29.36,1
7513,16.07571429,7,9/21/97,1.285714286,9,21.584,1
7514,45.01666667,3,9/29/97,3.333333333,1,39.06,1
7515,29.27333333,3,5/31/97,2,122,31.475,1
7516,63.55166667,6,8/2/97,4.5,59,40.9775,1
7517,22.365,2,2/10/97,1.5,232,NA,0
7518,12.77,1,1/29/97,1,244,NA,0
7519,11.98,2,2/1/97,1,241,NA,0
7520,14.96,1,1/30/97,1,243,NA,0
7521,44.95,1,1/29/97,3,244,NA,0
7522,123.32,1,1/29/97,9,244,NA,0
7523,21.87666667,3,5/5/97,1.666666667,148,NA,0
7524,33.68833333,6,9/5/97,2.166666667,25,30.225,1
7525,8.78,1,1/29/97,1,244,NA,0
7526,54.832,5,9/28/97,4.2,2,74.61666667,1
7527,58.73,1,1/29/97,3,244,NA,0
7528,29.99,1,1/29/97,1,244,NA,0
7529,33.8,1,1/29/97,2,244,NA,0
7530,27.94,1,1/29/97,2,244,NA,0
7531,39.98,1,1/29/97,2,244,NA,0
7532,25.74,1,1/29/97,2,244,NA,0
7533,67.153,10,5/4/97,3,149,124.66,1
7534,48.88,2,7/23/97,3.5,69,NA,0
7535,24.63875,8,9/18/97,1.75,12,24.55428571,1
7536,60.26666667,3,4/7/97,4.333333333,176,NA,0
7537,20.265,2,2/5/97,1.5,237,NA,0
7538,19.26125,8,6/23/97,1.375,99,22.99,1
7539,33.60375,8,9/29/97,2.375,1,NA,0
7540,27.13,1,1/29/97,2,244,53.795,1
7541,7.936666667,3,8/26/97,1,35,16.865,1
7542,26.616,5,5/10/97,1.8,143,NA,0
7543,13.57,2,2/3/97,1,239,NA,0
7544,41.795,4,4/15/97,3.25,168,30.73,1
7545,14.37,1,1/29/97,1,244,NA,0
7546,32.52,3,3/27/97,2.666666667,187,NA,0
7547,10.77,1,1/29/97,1,244,NA,0
7548,22.178,5,5/22/97,2,131,16.99,1
7549,40.58,2,3/3/97,3,211,NA,0
7550,49.27,1,1/29/97,4,244,NA,0
7551,66.15333333,3,8/7/97,3.666666667,54,NA,0
7552,15.36,1,1/29/97,1,244,15.49,1
7553,40.48,1,1/29/97,2,244,NA,0
7554,15.46,2,2/1/97,1,241,NA,0
7555,26.68,2,9/30/97,2,0,19.99,1
7556,14.96,1,1/29/97,1,244,NA,0
7557,13.97,1,1/29/97,1,244,27.98,1
7558,96.37,1,1/29/97,7,244,NA,0
7559,21.81666667,3,4/8/97,1.666666667,175,49.47,1
7560,4.79,1,1/29/97,1,244,NA,0
7561,14.96,1,1/29/97,1,244,16.74,1
7562,52.67,1,1/29/97,4,244,135.1166667,1
7563,24.73,1,1/29/97,2,244,NA,0
7564,12.16666667,3,7/31/97,1,61,16.32333333,1
7565,44.1,1,1/29/97,3,244,NA,0
7566,23.945,2,9/27/97,1,3,25.49,1
7567,28.53,1,1/29/97,2,244,NA,0
7568,67.23,1,1/29/97,5,244,NA,0
7569,13.97,2,2/1/97,1,241,NA,0
7570,58.755,2,3/29/97,4.5,185,42.97,1
7571,61.52375,8,9/15/97,4.125,15,92.7625,1
7572,21.42333333,3,4/23/97,1.333333333,160,24.46,1
7573,43.32,1,2/6/97,3,236,NA,0
7574,5.78,1,1/29/97,1,244,NA,0
7575,51.235,2,2/7/97,1.5,235,NA,0
7576,6.77,1,1/29/97,1,244,NA,0
7577,30.31,1,1/29/97,3,244,NA,0
7578,34.99,1,1/29/97,1,244,NA,0
7579,67.47,1,1/29/97,4,244,NA,0
7580,11.99,1,1/29/97,1,244,NA,0
7581,83.37,1,2/28/97,5,214,NA,0
7582,17.675,2,6/23/97,1,99,18.485,1
7583,45.1,1,1/29/97,3,244,NA,0
7584,14.99,1,1/29/97,1,244,NA,0
7585,40.43666667,3,6/19/97,3,103,25.48,1
7586,92.49666667,3,8/4/97,7.333333333,57,NA,0
7587,14.245,8,9/30/97,1,0,12.99,1
7588,38.74,1,1/29/97,2,244,NA,0
7589,41.27,3,3/30/97,2.333333333,184,38.72,1
7590,33.875,2,6/9/97,1,113,18.984,1
7591,46.495,4,8/13/97,3.25,48,27.45,1
7592,76.90093458,107,9/29/97,5.121495327,1,61.30351064,1
7593,11.7,1,1/29/97,1,244,NA,0
7594,24.485,2,4/1/97,1.5,182,13.99,1
7595,18.99,1,1/29/97,1,244,NA,0
7596,37.79,6,8/15/97,2.5,46,42.348,1
7597,24.37,1,1/29/97,1,244,13.49,1
7598,12.49,1,1/29/97,1,244,NA,0
7599,57.51,1,1/29/97,4,244,NA,0
7600,38.055,4,9/13/97,2.5,17,24.91,1
7601,15.36,1,1/29/97,1,244,NA,0
7602,13.365,2,3/31/97,1,183,NA,0
7603,11.77,1,1/31/97,1,242,31.485,1
7604,49.54333333,3,5/23/97,3.666666667,130,NA,0
7605,41.9,1,2/1/97,3,241,NA,0
7606,50.94,1,2/19/97,3,223,NA,0
7607,36.84,1,1/29/97,4,244,NA,0
7608,16.99,1,1/29/97,1,244,NA,0
7609,50.36,1,1/29/97,3,244,NA,0
7610,23.97,1,1/29/97,1,244,NA,0
7611,23.54,1,1/29/97,2,244,NA,0
7612,20.135,2,2/20/97,1,222,NA,0
7613,30.76,6,4/17/97,2.5,166,31.67,1
7614,15.9,1,1/29/97,1,244,NA,0
7615,38.11,4,9/25/97,3.75,5,31.80666667,1
7616,14.99,1,1/29/97,1,244,NA,0
7617,20.01666667,3,6/29/97,1.333333333,93,NA,0
7618,6.79,1,1/29/97,1,244,NA,0
7619,56.28,1,3/21/97,4,193,NA,0
7620,11.90333333,3,7/31/97,1,61,NA,0
7621,19.945,2,3/13/97,1.5,201,29.865,1
7622,70.95,1,1/29/97,5,244,NA,0
7623,37.97,3,5/10/97,2.666666667,143,NA,0
7624,11.77,1,1/29/97,1,244,NA,0
7625,31.92,1,1/29/97,2,244,NA,0
7626,12.97,1,1/29/97,1,244,NA,0
7627,46.545,4,4/20/97,3.5,163,NA,0
7628,21.85,2,7/30/97,1.5,62,21.99,1
7629,11.77,1,1/29/97,1,244,NA,0
7630,11.77,1,1/29/97,1,244,NA,0
7631,154.8728571,7,9/2/97,6.285714286,28,NA,0
7632,25.99,1,1/29/97,1,244,NA,0
7633,14.37,1,1/29/97,1,244,NA,0
7634,41.705,2,4/6/97,3,177,NA,0
7635,11.77,1,1/29/97,1,244,NA,0
7636,57.09,1,1/29/97,4,244,NA,0
7637,22.96,1,1/29/97,2,244,NA,0
7638,25.77,1,1/29/97,1,244,NA,0
7639,14.96,1,1/29/97,1,244,NA,0
7640,31.07,1,1/29/97,2,244,NA,0
7641,12.49,1,1/29/97,1,244,NA,0
7642,40.1,1,1/29/97,3,244,NA,0
7643,70.62,1,1/29/97,6,244,NA,0
7644,27.825,2,4/8/97,2.5,175,38.36,1
7645,11.77,1,1/31/97,1,242,10.49,1
7646,24.36,1,1/29/97,4,244,39.97,1
7647,26.14,1,1/29/97,2,244,NA,0
7648,42.44,1,1/29/97,3,244,NA,0
7649,65.97428571,7,9/17/97,4.428571429,13,72.45,1
7650,43.99,1,1/29/97,1,244,NA,0
7651,12.99,1,2/3/97,1,239,NA,0
7652,67.45,1,1/31/97,5,242,NA,0
7653,46.215,2,2/3/97,1.5,239,NA,0
7654,26.74,1,1/29/97,2,244,NA,0
7655,45.09,1,1/29/97,3,244,NA,0
7656,19.89,3,3/8/97,1.666666667,206,9.99,1
7657,11.77,1,1/29/97,1,244,NA,0
7658,9.975,2,2/18/97,1,224,24.46666667,1
7659,14.37,1,1/29/97,1,244,12.99,1
7660,12.97,1,1/29/97,1,244,NA,0
7661,27.13,1,1/29/97,2,244,NA,0
7662,24.98,1,1/29/97,2,244,NA,0
7663,56.69,1,1/29/97,2,244,NA,0
7664,105.67,1,1/29/97,4,244,NA,0
7665,6.79,1,1/29/97,1,244,NA,0
7666,15.46,2,6/17/97,1,105,49.96,1
7667,69.03,1,1/29/97,5,244,NA,0
7668,18.78,1,1/29/97,2,244,NA,0
7669,12.77,1,1/29/97,1,244,NA,0
7670,18.726,5,8/30/97,1.4,31,13.49,1
7671,32.72,1,1/29/97,2,244,NA,0
7672,25.53,7,9/4/97,1.571428571,26,19.32,1
7673,14.37,1,1/29/97,1,244,11.99,1
7674,43.665,4,6/20/97,2.75,102,NA,0
7675,30.13,1,1/29/97,2,244,NA,0
7676,13.87,2,3/8/97,1,206,NA,0
7677,29.1275,4,7/2/97,2.25,90,25.96,1
7678,18.99,1,1/29/97,1,244,NA,0
7679,17.24,2,9/15/97,1,15,NA,0
7680,24.74,1,1/29/97,2,244,NA,0
7681,38.805,4,7/9/97,3,83,38.97,1
7682,14.96,1,1/29/97,1,244,14.0325,1
7683,57.27,1,2/4/97,4,238,12.99,1
7684,184.85,5,7/21/97,11.2,71,50.85,1
7685,46.68,1,1/29/97,4,244,NA,0
7686,69.04,1,1/29/97,5,244,NA,0
7687,35.2,1,2/6/97,2,236,NA,0
7688,14.37,1,1/29/97,1,244,127.46,1
7689,14.96,1,1/29/97,1,244,NA,0
7690,38.55666667,3,8/15/97,1.333333333,46,NA,0
7691,54.46333333,6,5/28/97,4.5,125,NA,0
7692,9.77,2,2/14/97,1,228,NA,0
7693,14.96,1,1/29/97,1,244,NA,0
7694,24.94,1,1/29/97,2,244,NA,0
7695,13.19333333,3,8/25/97,1,36,24.98,1
7696,15.36,1,1/29/97,1,244,NA,0
7697,41.21857143,7,9/25/97,3.714285714,5,13.99,1
7698,29.6375,4,3/27/97,2,187,NA,0
7699,67.97,1,1/29/97,5,244,NA,0
7700,33.67,1,1/30/97,2,243,NA,0
7701,13.97,1,2/2/97,1,240,NA,0
7702,19.56,1,1/30/97,2,243,NA,0
7703,19.75,2,2/8/97,1.5,234,NA,0
7704,28.34,1,1/30/97,2,243,NA,0
7705,26.375,2,4/9/97,1.5,174,NA,0
7706,26.295,4,3/23/97,1.75,191,NA,0
7707,14.37,1,1/30/97,1,243,NA,0
7708,13.97,1,1/30/97,1,243,NA,0
7709,15.76,1,1/30/97,1,243,NA,0
7710,20.54,1,1/30/97,2,243,NA,0
7711,16.66,2,4/21/97,1.5,162,18.11666667,1
7712,56.7,1,1/30/97,1,243,NA,0
7713,170.1155556,9,9/3/97,5.111111111,27,54.962,1
7714,29.355,2,7/28/97,2,64,28.47,1
7715,18.99,1,1/30/97,1,243,43.97,1
7716,73.65,1,1/30/97,4,243,NA,0
7717,19.99,1,1/30/97,1,243,NA,0
7718,11.77,1,1/30/97,1,243,NA,0
7719,42.28,1,1/30/97,5,243,NA,0
7720,14.7,1,1/30/97,1,243,41.56,1
7721,43.061,10,8/27/97,2.7,34,35.98,1
7722,19.54,1,1/30/97,3,243,NA,0
7723,15.398,5,8/21/97,1.4,40,NA,0
7724,19.99,1,1/30/97,1,243,NA,0
7725,32.37,3,3/16/97,1,198,NA,0
7726,32.24,1,1/30/97,3,243,201.88,1
7727,13.97,1,1/30/97,1,243,NA,0
7728,19.31833333,6,8/24/97,1.5,37,32.75333333,1
7729,49.085,2,7/2/97,3.5,90,28.98,1
7730,74.61666667,6,5/1/97,4.166666667,152,NA,0
7731,32.86,1,1/30/97,2,243,13.74,1
7732,38.0375,4,5/17/97,2.5,136,27,1
7733,14.37,1,1/30/97,1,243,NA,0
7734,29.7775,4,9/6/97,2.25,24,58.62,1
7735,53.98,1,2/12/97,2,230,NA,0
7736,17.7,1,1/30/97,1,243,NA,0
7737,13.77,1,1/30/97,1,243,NA,0
7738,60.13,2,3/7/97,5.5,207,NA,0
7739,8.97,1,1/30/97,1,243,NA,0
7740,30.845,2,1/30/97,2,243,31.07333333,1
7741,21.1375,4,9/22/97,1.75,8,42.47,1
7742,12.49,1,1/30/97,1,243,NA,0
7743,32.92,2,4/29/97,2.5,154,15.49,1
7744,14.7,1,1/30/97,1,243,12.99,1
7745,6.79,1,1/30/97,1,243,NA,0
7746,0,1,1/30/97,1,243,NA,0
7747,12.97,1,1/30/97,1,243,NA,0
7748,18.99,1,1/30/97,1,243,NA,0
7749,74.48,1,1/30/97,5,243,NA,0
7750,58.5,1,1/30/97,3,243,NA,0
7751,20.11,2,5/2/97,1.5,151,NA,0
7752,54.265,2,2/18/97,4.5,224,45.04,1
7753,59.96,2,9/21/97,5,9,NA,0
7754,28.14,2,7/28/97,3,64,NA,0
7755,7.99,1,2/26/97,1,216,NA,0
7756,14.79,1,1/30/97,1,243,NA,0
7757,38.115,2,3/10/97,2.5,204,NA,0
7758,16.67142857,7,9/5/97,1.142857143,25,17.386,1
7759,15.36,1,1/30/97,1,243,NA,0
7760,27.13,1,1/30/97,2,243,NA,0
7761,37.305,2,2/8/97,2.5,234,NA,0
7762,25.23333333,3,8/4/97,1,57,38.97,1
7763,51.48,1,1/30/97,4,243,NA,0
7764,44.98,1,1/30/97,2,243,NA,0
7765,33.68333333,3,5/26/97,2.333333333,127,NA,0
7766,30.32,1,1/30/97,2,243,NA,0
7767,26.99,1,1/30/97,1,243,NA,0
7768,22.9625,4,5/7/97,1.25,146,NA,0
7769,41.5,1,1/30/97,3,243,NA,0
7770,68.7,1,2/19/97,3,223,38.36,1
7771,19.99,1,1/30/97,1,243,NA,0
7772,20.715,2,5/3/97,1.5,150,24.07,1
7773,57.98,1,1/30/97,2,243,NA,0
7774,40.33,1,1/30/97,3,243,NA,0
7775,29.92,1,1/30/97,3,243,54.96,1
7776,19.99,1,1/30/97,1,243,NA,0
7777,26.435,2,4/10/97,2,173,NA,0
7778,18.99,1,1/30/97,1,243,NA,0
7779,61.77,3,7/31/97,4,61,NA,0
7780,11.77,1,1/30/97,1,243,NA,0
7781,305.48,1,1/30/97,22,243,NA,0
7782,23.6625,4,7/22/97,1.5,70,24.46,1
7783,33.4,1,1/30/97,2,243,NA,0
7784,30.32,1,1/30/97,2,243,NA,0
7785,31.58125,8,6/27/97,2.75,95,NA,0
7786,36.55285714,7,9/15/97,1.142857143,15,25.98666667,1
7787,24.99,1,1/30/97,1,243,NA,0
7788,9.875,2,5/25/97,1,128,NA,0
7789,12.77,1,1/30/97,1,243,NA,0
7790,22.99,1,1/30/97,1,243,NA,0
7791,21.83909091,11,9/4/97,1.090909091,26,22.59888889,1
7792,69.50875,8,9/11/97,3.375,19,NA,0
7793,11.77,1,1/30/97,1,243,NA,0
7794,8.885,2,2/7/97,1.5,235,NA,0
7795,21.845,2,7/23/97,1.5,69,24.87,1
7796,25.99,1,1/30/97,1,243,NA,0
7797,32.92,2,8/20/97,2.5,41,23.48,1
7798,52.14666667,3,3/4/97,3,210,19.82,1
7799,14.96,1,1/30/97,1,243,NA,0
7800,5.98,1,1/30/97,1,243,NA,0
7801,66.71571429,7,9/22/97,3.428571429,8,79.84125,1
7802,12.49,1,1/30/97,1,243,NA,0
7803,19.97,1,1/30/97,1,243,NA,0
7804,170.83,1,1/30/97,9,243,49.96,1
7805,12.49,1,1/30/97,1,243,NA,0
7806,28.13,1,1/30/97,2,243,34.97,1
7807,27.99,1,1/30/97,1,243,NA,0
7808,39.51,1,2/4/97,3,238,NA,0
7809,76.25,1,1/30/97,6,243,NA,0
7810,23.54,1,1/30/97,2,243,NA,0
7811,14.37,1,1/30/97,1,243,13.85333333,1
7812,22.99,1,1/30/97,1,243,NA,0
7813,29.31,1,1/30/97,3,243,NA,0
7814,5.99,1,2/26/97,1,216,NA,0
7815,19.99,1,1/30/97,1,243,NA,0
7816,60.02,2,5/23/97,3,130,NA,0
7817,45.615,2,2/4/97,3.5,238,41.0975,1
7818,9.99,1,1/30/97,1,243,NA,0
7819,15.36,1,1/30/97,1,243,NA,0
7820,29.33,1,1/30/97,2,243,NA,0
7821,11.225,4,5/7/97,1,146,NA,0
7822,15.425,6,9/12/97,1.166666667,18,11.49,1
7823,18.475,2,2/20/97,1.5,222,NA,0
7824,12.77,1,1/30/97,1,243,13.57,1
7825,40.245,2,5/6/97,2.5,147,45.99333333,1
7826,20.08333333,3,4/18/97,1.666666667,165,28.49,1
7827,8.39,2,4/15/97,1,168,NA,0
7828,32.52,1,1/30/97,2,243,93.48,1
7829,33.74,1,1/30/97,2,243,NA,0
7830,40.73,1,1/30/97,2,243,NA,0
7831,32.97,1,3/18/97,1,196,NA,0
7832,13.97,1,1/30/97,1,243,NA,0
7833,100.9,2,2/5/97,6,237,NA,0
7834,43.18666667,3,5/8/97,3.333333333,145,25.81333333,1
7835,14.96,1,1/30/97,1,243,NA,0
7836,66.84,1,1/30/97,5,243,NA,0
7837,57.365,2,3/12/97,3.5,202,NA,0
7838,13.88,3,5/11/97,1,142,14.985,1
7839,29.33,1,1/30/97,2,243,NA,0
7840,13.37,3,6/13/97,1,109,32.75,1
7841,16.3,1,1/30/97,1,243,NA,0
7842,59.52,1,1/30/97,4,243,NA,0
7843,39.54,1,3/20/97,2,194,47.14333333,1
7844,21.99,1,1/30/97,1,243,NA,0
7845,81.79,1,1/30/97,7,243,NA,0
7846,30,1,1/30/97,1,243,NA,0
7847,19.98,1,1/30/97,1,243,NA,0
7848,18.75,3,4/9/97,1.666666667,174,NA,0
7849,11.77,1,1/30/97,1,243,NA,0
7850,21.16,6,9/23/97,1.5,7,28.355,1
7851,14.96,1,1/30/97,1,243,28.2325,1
7852,13.48,2,9/26/97,1,4,16.36,1
7853,31.592,5,7/26/97,2,66,NA,0
7854,36.88875,8,9/19/97,2.25,11,46.72,1
7855,70.46,1,1/30/97,4,243,NA,0
7856,80.27,2,4/28/97,4,155,163.3166667,1
7857,15.9,2,3/4/97,1,210,NA,0
7858,13.97,1,1/30/97,1,243,NA,0
7859,11.77,1,1/30/97,1,243,NA,0
7860,15.76,1,1/30/97,1,243,NA,0
7861,31.15,2,4/20/97,2,163,NA,0
7862,32.7,1,2/8/97,1,234,NA,0
7863,27.94,1,1/30/97,2,243,NA,0
7864,13.97,1,1/30/97,1,243,NA,0
7865,48.035,2,8/8/97,2.5,53,32.98,1
7866,96.99,1,1/31/97,1,242,NA,0
7867,11.77,1,1/30/97,1,243,NA,0
7868,29.0725,4,9/20/97,1.75,10,14.49,1
7869,13.97,1,1/30/97,1,243,25.985,1
7870,86.56,1,1/30/97,7,243,NA,0
7871,40.288,5,7/26/97,2.4,66,70.95,1
7872,13.97,1,1/30/97,1,243,NA,0
7873,45.08,1,1/30/97,4,243,NA,0
7874,11.77,1,1/30/97,1,243,26.735,1
7875,9.77,1,1/30/97,1,243,NA,0
7876,15.76,1,1/30/97,1,243,10.49,1
7877,27.53666667,3,4/11/97,2,172,NA,0
7878,30.32,1,1/30/97,2,243,NA,0
7879,19.99,1,1/30/97,1,243,NA,0
7880,25.34666667,3,4/30/97,2,153,NA,0
7881,39.98,1,1/30/97,2,243,NA,0
7882,14.96,1,1/30/97,1,243,NA,0
7883,26.77,1,3/6/97,1,208,NA,0
7884,24.54,1,1/30/97,2,243,NA,0
7885,11.77,1,1/30/97,1,243,9.49,1
7886,15.66,2,2/14/97,1,228,NA,0
7887,39.32,3,7/30/97,3,62,NA,0
7888,14.37,1,1/30/97,1,243,NA,0
7889,9.64,2,3/21/97,1,193,NA,0
7890,22.74,1,1/30/97,2,243,NA,0
7891,29.93,2,4/16/97,2,167,NA,0
7892,11.3,5,9/10/97,2,20,18.98666667,1
7893,15.36,1,1/30/97,1,243,NA,0
7894,17.9,1,1/30/97,1,243,NA,0
7895,14.17,2,7/11/97,1,81,NA,0
7896,61.3,1,1/30/97,1,243,NA,0
7897,0,1,2/4/97,1,238,NA,0
7898,23.36,1,2/3/97,2,239,NA,0
7899,17.29333333,3,7/30/97,1.333333333,62,29.89,1
7900,29.37,1,1/30/97,1,243,NA,0
7901,59.54818182,11,8/23/97,2.181818182,38,120.195,1
7902,55.2,1,1/30/97,4,243,NA,0
7903,11.77,1,1/30/97,1,243,NA,0
7904,19.75,1,1/30/97,2,243,NA,0
7905,14.37,1,1/30/97,1,243,NA,0
7906,117.19,2,5/6/97,8,147,217.32,1
7907,18.755,2,3/14/97,1.5,200,NA,0
7908,80.835,2,2/15/97,2.5,227,19.99,1
7909,20.99,1,1/30/97,1,243,NA,0
7910,14.37,1,1/30/97,1,243,NA,0
7911,23.755,2,2/6/97,1.5,236,NA,0
7912,8.275,2,1/31/97,1,242,NA,0
7913,29.53,2,3/13/97,2,201,NA,0
7914,29.16,1,1/30/97,2,243,NA,0
7915,111.86,2,6/24/97,7.5,98,NA,0
7916,15.36,1,1/30/97,1,243,NA,0
7917,14.61333333,3,2/2/97,1,240,27.985,1
7918,17.655,2,4/21/97,1.5,162,NA,0
7919,20.87,2,4/19/97,1,164,NA,0
7920,28.3425,4,5/6/97,1.75,147,NA,0
7921,9.99,1,1/30/97,1,243,NA,0
7922,13.97,1,1/30/97,1,243,NA,0
7923,22.345,2,3/1/97,2.5,213,59.46,1
7924,14.165,2,2/24/97,1,218,NA,0
7925,15.155,2,2/5/97,1.5,237,NA,0
7926,14.99,1,1/30/97,1,243,NA,0
7927,17.9,1,1/30/97,1,243,16.74,1
7928,47.93,1,1/30/97,2,243,NA,0
7929,47.1,1,1/30/97,3,243,NA,0
7930,27.705,2,7/31/97,3,61,11.49,1
7931,101.0137143,35,9/21/97,7.857142857,9,109.6925926,1
7932,39.53,1,1/30/97,3,243,NA,0
7933,12.97,1,1/30/97,1,243,NA,0
7934,35.77,1,2/5/97,1,237,NA,0
7935,30.51285714,7,9/16/97,2.142857143,14,36.96,1
7936,23.99,1,1/30/97,1,243,NA,0
7937,54.98,1,1/30/97,2,243,NA,0
7938,26.13,1,1/30/97,2,243,34.365,1
7939,40.13,1,1/30/97,2,243,NA,0
7940,26.99,1,1/30/97,1,243,NA,0
7941,26.14,1,1/30/97,2,243,NA,0
7942,14.37,1,1/30/97,1,243,NA,0
7943,9.98,1,1/30/97,1,243,NA,0
7944,13.23666667,3,3/17/97,1,197,14.49,1
7945,14.96,1,1/30/97,1,243,NA,0
7946,10.77,1,1/30/97,1,243,NA,0
7947,19.7,1,1/30/97,1,243,NA,0
7948,16,1,1/30/97,1,243,NA,0
7949,19.77,1,1/30/97,1,243,NA,0
7950,11.77,1,1/30/97,1,243,NA,0
7951,13.97,2,2/3/97,1,239,21.37,1
7952,12.97,1,1/30/97,1,243,NA,0
7953,8.99,1,1/30/97,1,243,11.88,1
7954,14.37,1,1/30/97,1,243,NA,0
7955,37.47428571,7,7/8/97,2.857142857,84,27.52833333,1
7956,29.98,1,1/30/97,2,243,58.24833333,1
7957,12.49,1,1/30/97,1,243,NA,0
7958,16.76,2,7/7/97,1.5,85,NA,0
7959,30.8,1,1/30/97,2,243,NA,0
7960,19.99,1,1/30/97,1,243,NA,0
7961,63.8,2,2/25/97,4.5,217,71.95,1
7962,38.6,2,6/15/97,2.5,107,NA,0
7963,18.72666667,3,4/3/97,1.333333333,180,12.99,1
7964,37.11,2,3/4/97,4,210,NA,0
7965,14.37,1,1/30/97,1,243,NA,0
7966,126.36,1,2/21/97,8,221,50.46,1
7967,14.065,4,5/25/97,1,128,13.99,1
7968,23.98,1,1/30/97,2,243,17.815,1
7969,35.122,5,6/15/97,2.6,107,39.605,1
7970,24.77,1,1/30/97,1,243,NA,0
7971,17.66111111,9,7/18/97,1.333333333,74,NA,0
7972,26.935,2,8/28/97,2,33,22.98,1
7973,53.86,2,7/24/97,1.5,68,54.0275,1
7974,24.6375,4,5/30/97,2,123,NA,0
7975,14.37,1,1/30/97,1,243,NA,0
7976,9.98,1,1/30/97,1,243,NA,0
7977,14.24333333,3,4/5/97,1,178,NA,0
7978,14.39,1,1/30/97,1,243,NA,0
7979,17.9,1,1/30/97,1,243,NA,0
7980,13.99,1,1/30/97,1,243,11.59,1
7981,28.93,1,1/30/97,2,243,NA,0
7982,21.97,1,1/30/97,1,243,NA,0
7983,59.10316667,60,8/31/97,4.55,30,38.50426966,1
7984,13.67,2,2/5/97,1,237,NA,0
7985,17.27,2,2/11/97,1,231,28.48,1
7986,14.82357143,14,8/7/97,1.142857143,54,NA,0
7987,54.43,1,1/30/97,4,243,NA,0
7988,19.99,1,1/30/97,1,243,NA,0
7989,51.27,1,1/30/97,4,243,NA,0
7990,46.125,2,7/29/97,2.5,63,NA,0
7991,81.391,10,8/10/97,5.2,51,102.6666667,1
7992,21.74,2,9/17/97,1,13,NA,0
7993,21.77,1,1/30/97,1,243,NA,0
7994,13.725,2,2/3/97,1,239,8.38,1
7995,15.27666667,3,9/4/97,1.333333333,26,20.41142857,1
7996,85.58,1,2/2/97,6,240,NA,0
7997,60.64,1,1/31/97,4,242,NA,0
7998,60.73,1,1/30/97,4,243,NA,0
7999,75.7,1,1/30/97,3,243,NA,0
8000,24.48,1,1/30/97,2,243,36.8,1
8001,23.54,1,1/30/97,2,243,NA,0
8002,28.7,1,1/30/97,1,243,NA,0
8003,40.856,5,8/23/97,2.2,38,NA,0
8004,74.165,2,7/8/97,4.5,84,NA,0
8005,19.77846154,13,9/29/97,1.538461538,1,10.49,1
8006,27.175,2,5/20/97,1,133,NA,0
8007,10.99,1,1/30/97,1,243,NA,0
8008,93.15,6,9/30/97,6,0,88.935,1
8009,21.67666667,6,9/12/97,1.333333333,18,29.56461538,1
8010,11.77,1,1/30/97,1,243,13.66,1
8011,33.575,4,6/29/97,2.5,93,16.99,1
8012,14.96,1,1/31/97,1,242,NA,0
8013,16.36,1,1/31/97,1,242,24.78666667,1
8014,37.65,2,4/10/97,1.5,173,NA,0
8015,13.97,1,1/31/97,1,242,NA,0
8016,13.97,1,1/31/97,1,242,NA,0
8017,23.75777778,9,9/11/97,1.888888889,19,25.79375,1
8018,20.99,1,1/31/97,1,242,NA,0
8019,14.96,1,1/31/97,1,242,NA,0
8020,15.36,1,2/8/97,1,234,NA,0
8021,17.432,5,7/12/97,1.2,80,28.98,1
8022,72.46,1,1/31/97,4,242,158.49,1
8023,29.73,1,1/31/97,2,242,NA,0
8024,26.73,1,1/31/97,2,242,NA,0
8025,26.33,1,1/31/97,2,242,NA,0
8026,29.92,1,1/31/97,2,242,38.47,1
8027,38.36916667,12,8/19/97,2.75,42,56.96,1
8028,13.98,1,1/31/97,1,242,NA,0
8029,20.73666667,3,7/28/97,1.666666667,64,17.93,1
8030,11.975,2,6/23/97,1,99,NA,0
8031,11.97,1,1/31/97,1,242,NA,0
8032,40.735,8,7/22/97,2.875,70,28.73,1
8033,13.97,1,1/31/97,1,242,23.48,1
8034,41.1,1,1/31/97,3,242,NA,0
8035,31.45904762,21,9/28/97,2.142857143,2,33.81516129,1
8036,38.99,1,1/31/97,1,242,12.49,1
8037,30.93,2,2/21/97,2,221,280.72,1
8038,72.0725,4,5/24/97,4.75,129,NA,0
8039,88.7,1,1/31/97,1,242,NA,0
8040,100.56,1,1/31/97,7,242,NA,0
8041,13.24,2,9/10/97,1,20,30.98,1
8042,29.99,1,1/31/97,1,242,NA,0
8043,76.21,1,1/31/97,6,242,NA,0
8044,81.215,2,2/4/97,6,238,NA,0
8045,23.54,1,1/31/97,2,242,NA,0
8046,70.025,2,3/2/97,4.5,212,NA,0
8047,12.49,1,3/10/97,1,204,NA,0
